bot2,70,2024-05-21 16:55:34
bot4,40,2024-05-21 17:03:35
Canoes,2990,2024-05-21 17:31:21
Canoes,6290,2024-05-21 17:46:59
MISAYA,4490,2024-05-21 20:19:50
Canoes,1220,2024-05-22 00:40:25
Koishi,2210,2024-05-22 13:22:38
Tomato,2300,2024-05-22 15:53:10
FUCKYOU,2070,2024-05-22 23:36:07
Canoes,5100,2024-05-26 15:29:01
CANOE,3560,2024-05-26 22:34:34
Canoes,3690,2024-05-26 22:50:50
